B^{1/4}[MeV], Delta[MeV], m_s[MeV], c[1], Phase_transition[bool] 
670.1551826814396 102.3842009581778 105.25866960924215 0.16840495005176992 0
895.4252879292716 179.94480462362557 115.78863715999846 0.8224251165118094 0
442.86768612979967 208.6017327750879 91.90713767199219 0.4292896398745648 0
201.19080259656852 295.0536299339596 118.82136091057632 0.29634989297450254 0
743.3670396312114 198.54275400353933 93.3697844904632 0.15512845827202204 0
840.9421861613893 367.92974072429877 100.46579614912888 0.2609206045913749 0
236.22144749448813 402.39496350158646 91.31173637544327 0.41656542339648595 0
576.1932332904889 524.3340047543799 99.43453969088358 0.8917454907035804 0
358.6929310206943 377.78050664970385 82.8570036711056 0.27128559611802416 1
599.5580764258906 208.50105072430173 105.55817769381613 0.5796866165241822 0
324.36636771100916 347.3149296039665 96.10162021568317 0.6685192972823705 1
379.9958573487165 39.175827248314334 100.08291982172656 0.2159239612203534 0
389.67347954501275 524.5539251704728 99.02170067377027 0.22644516978173757 0
743.9945121495944 416.72955521176937 85.03271023848197 0.5790124625386555 0
822.9296037433276 281.2694844098917 112.50868364881072 0.2523873689084104 0
250.69547614068898 416.59499004406035 116.90959958637681 0.32859187400693357 0
423.29864808887305 160.27099553921033 98.33553629486818 0.6105283024905213 0
311.0127550142871 147.75818212849845 119.3824528299522 0.4938377367583079 0
767.593476639352 246.94480133242536 113.20354884864402 0.47388485661064195 0
732.6875900316702 215.5370321294643 103.73968212032074 0.45172911297997176 0
314.55046640018446 195.79580956432403 91.39655303175194 0.9526483456057154 0
142.02263170686658 268.0338210642622 113.62273511715074 0.10649800517687347 0
568.892402441576 112.58660738857164 113.658914086538 0.5464769803907824 0
591.7789757050524 292.54143305983337 105.47607679530364 0.2748240085609266 0
484.5322140729519 410.10282475297515 90.03301010206663 0.9776452198690885 0
338.3117949758162 300.62298410676414 81.10382846814807 0.39484686339948116 1
506.2969001343546 73.22391779159568 101.03737301501883 0.5535907593477953 0
821.1925410136303 297.03849779843233 105.1429050634531 0.24850575041350442 0
637.4270413676576 452.45441813743207 93.60538542378396 0.4330780140474444 0
661.3427671597957 385.78810704169007 94.52094043238957 0.3387665766233382 0
889.144638813863 409.1062049943751 82.34652748533865 0.3725083088654929 0
143.592753761699 465.1756336821054 106.77541366111151 0.5906939958633165 0
853.4913691195084 485.7081451465848 119.18441584117983 0.9943677698551973 0
432.28384554908126 139.50165300904646 99.44681724179392 0.24560864744810784 0
751.8289270799725 142.34635841203948 119.00564314597 0.1124142127211808 0
192.55785251421165 295.38719958054753 103.70340298097064 0.800629935004728 0
527.0905835547417 481.5704585497731 118.29131948320742 0.20167817978253566 0
278.4618798063498 523.0168370561694 98.51955271937149 0.513040935826894 0
532.3056222111194 415.6300694968318 107.8397630887751 0.6508200314661317 0
351.167827161456 55.40262112805595 89.62958840248157 0.6008391393372531 0
488.55651573037005 80.95727607121141 113.04493048920375 0.9038685576726233 0
155.50661693074196 546.6610143549965 80.3581112810815 0.5848278137742258 0
813.1435424266591 182.56829531259402 106.39245875136166 0.7675550293785114 0
454.0164839045488 116.32167849487821 106.05160513082839 0.9629137316858328 0
833.874575188003 434.3983616859782 111.792715617695 0.09504860764011192 0
487.91180189608986 402.306796753491 105.3628102294305 0.7250019122534149 0
665.687821433863 137.11349469324253 107.7484238994766 0.29461467023909604 0
660.9206437964432 454.1802969238525 101.8874451104552 0.7943023927105672 0
546.074220533712 473.8585971543381 98.13157621725634 0.006462839767133466 0
