M[M_sun], R[km], Lambda[1], P_c[MeV/fm^3]
1.1480014592092875 13.064532015761145 1631.0785381808014 32.240957699098026
1.1716704261446298 13.068928355236089 1464.110758557189 33.536739956374134
1.1954211238019803 13.072923212382564 1315.4733597899221 34.88473094924301
1.219236078036255 13.07643490369919 1182.8567651047376 36.28730433930867
1.2431017207220778 13.079436728432732 1064.4761304397716 37.74657800419761
1.2670019960593129 13.0818649103506 958.7721302989132 39.26544308492984
1.2909213571591205 13.08368337815509 864.1441311420014 40.846764188831976
1.3148430618132663 13.084830394320242 779.566787572947 42.493148366952326
1.3387493620182882 13.08526824523885 703.8474113140788 44.207664452628045
1.3626233485554617 13.08496803297241 635.9828683965138 45.993911924924944
1.3864460010523114 13.083861041340715 575.1452426998771 47.85452661798529
1.4102024090762624 13.081928048565814 520.5123878114052 49.794008220357384
1.4338691022869958 13.079119199421388 471.4965883067022 51.815202490491956
1.4574290179088447 13.075405525193077 427.3779617520949 53.92292750073087
1.4808621690132253 13.070728039411724 387.7363237593765 56.121005675705135
1.5041495510942526 13.065068708361274 352.05818641669254 58.41388362069513
1.527269720333311 13.058378585743412 319.9291321344772 60.80660465757036
1.5502017421293368 13.050632879858082 290.96167598702675 63.30413788671266
1.5729252892497756 13.041793002841276 264.8332304055392 65.91177242242861
1.5954132309187865 13.03180704591744 241.2418515334909 68.6350053031028
1.6176608610183363 13.020689327218978 219.92352084252988 71.4801137262736
1.6396294957888495 13.008364190201423 200.66568475516348 74.45352421121854
1.6613027248806176 12.99481555949328 183.25008989415304 77.56181822668253
1.6826569902975324 12.980012762003703 167.49411678871658 80.81243620068126
1.7036720325715686 12.963925989044732 153.2035234012389 84.21322487732947
1.7243241546465873 12.946531898791193 140.26337860737402 87.77257630942267
1.7445899514975545 12.927793684099726 128.5301228917959 91.49863537751723
1.7644481485408117 12.907691053586055 117.87097959468936 95.40156599337656
1.7838741989433522 12.886192502617815 108.20082215681443 99.49074677026296
1.8028466484293495 12.863282052193796 99.40934507046339 103.77751822864226
1.8213412821385115 12.838929072340521 91.40576342801796 108.27298499230038
1.8393381740849086 12.81310860787811 84.13174745215314 112.9893343130642
1.8568121280091892 12.78580711924902 77.50800050232861 117.9400031440433
1.8737413757733556 12.756998558690253 71.46860782873473 123.13909646170733
1.8901034340155944 12.7266624923833 65.96320665541803 128.6018285132688
1.9058745651839706 12.694783386872617 60.940601343710576 134.34399680607524
1.9210351623866946 12.661341952276917 56.35925558693972 140.3836752574252
1.935554004288687 12.626291019867075 52.1731726127329 146.73966028457215
1.9494382956387148 12.589717392506246 48.34024833016514 153.43201083886387
1.9626255167514195 12.551482364524293 44.83813390421296 160.48358098421068
1.9743575697355116 12.512258841210151 41.76665221844644 168.051342625639
1.9838263560534164 12.47125757648748 39.14032295922764 176.2826213651854
1.9909767549721216 12.42752336983977 36.88670667284311 185.22460736082542
1.9959483856988829 12.380779678581963 34.92477676697242 194.92885076028648
1.9988018510329428 12.33063528337207 33.21219140202297 205.45132322572363
1.9996692794425028 12.27707508897964 31.702125722062714 216.85333140998847
